Date,Particulars,Vch Type,Vch No.,Debit Amount,Credit Amount
,Sales Account,,,,51300.00 Cr
06-12-2025,Lavik Traders,Sales,3049/25-26,48652,
,Sales Account,,,,48652.00 Cr
06-12-2025,DILIP UDYOUG,Purchase,226,,40986
,Purchase Account,,,40986.00 Dr,
07-12-2025,Nilesh Kumar Khandelwal,Payment,944,9500,
,Vijay Kumar Khandelwal,,,9500.00 Dr,
,Priyanka Devi Khandelwal,,,9500.00 Dr,
,Vishnu Gupta,,,9500.00 Dr,
,Nitesh,,,9500.00 Dr,
,Pradeep Kumar Gupta,,,9500.00 Dr,
,Raju Lal Ji,,,9500.00 Dr,
,Raju Mistri,,,9500.00 Dr,
,Cash,,,,76000.00 Cr
07-12-2025,M M Trading Company - Khejroli,Sales,3050/25-26,64625,
,Sales Account,,,,64625.00 Cr
08-12-2025,Wages Expenses A/C,Payment,945,7650,
,Cash,,,,7650.00 Cr
08-12-2025,Fright Exp,Payment,946,9000,
,Cash,,,,9000.00 Cr
08-12-2025,Tour & Travel,Payment,947,2240,
,Cash,,,,2240.00 Cr
08-12-2025,Nilesh Kumar Khandelwal,Payment,948,9500,
,Vijay Kumar Khandelwal,,,9500.00 Dr,
,Priyanka Devi Khandelwal,,,9500.00 Dr,
,Pradeep Kumar Gupta,,,8000.00 Dr,
,Raju Lal Gupta,,,4500.00 Dr,
,Vishnu Gupta,,,9500.00 Dr,
,Nitesh,,,9500.00 Dr,
,Raju Mistri,,,4000.00 Dr,
,Cash,,,,64000.00 Cr
08-12-2025,Shri Hari Shanker Khandelwal,Payment,949,9000,
,Cash,,,,9000.00 Cr
08-12-2025,Haritwal Pashu Ahar Vatika,Receipt,960,,9500
,Cash,,,9500.00 Dr,
08-12-2025,Godha Enterprises (Hingoniya),Receipt,961,,9000
,Cash,,,9000.00 Dr,
08-12-2025,Balaji Trading  Company  - Lalshot,Receipt,962,,51300
,HDFC Bank,,,51300.00 Dr,
08-12-2025,SHRI BALAJI ENTERPRISES-TIGARIYA,Receipt,963,,70000
,HDFC Bank,,,70000.00 Dr,
08-12-2025,M M Trading Company - Khejroli,Receipt,964,,9000
,Cash,,,9000.00 Dr,
08-12-2025,Shyam Ji Yadav,Receipt,965,,9500
,Cash,,,9500.00 Dr,
08-12-2025,JAGMOHAN  SATISH KUMAR  MAHUWA,Receipt,966,,86632
,HDFC Bank,,,86632.00 Dr,
08-12-2025,Ishwar and Company Surajpool,Sales,3051/25-26,78750,
,Sales Account,,,,78750.00 Cr
08-12-2025,Dugya Cattle Feed - Muhana,Sales,3052/25-26,60464,
,Sales Account,,,,60464.00 Cr
08-12-2025,Jurashik Minral,Purchase,227,,27556
,Purchase Account,,,27556.00 Dr,
09-12-2025,Wages Expenses A/C,Payment,950,7750,
,Cash,,,,7750.00 Cr
09-12-2025,Fright Exp,Payment,951,5250,
,Cash,,,,5250.00 Cr
09-12-2025,Tour & Travel,Payment,952,1500,
,Cash,,,,1500.00 Cr
09-12-2025,Haritwal Pashu Ahar Vatika,Receipt,967,,9500
,Cash,,,9500.00 Dr,
09-12-2025,Godha Enterprises (Hingoniya),Receipt,968,,9000
,Cash,,,9000.00 Dr,
09-12-2025,Rakesh Kirana Store - Khejroli,Receipt,969,,25000
,HDFC Bank,,,25000.00 Dr,
09-12-2025,Choudhary Pashu Aahar  Parbatsar,Receipt,970,,30000
,HDFC Bank,,,30000.00 Dr,
09-12-2025,Harsit Kotari,Receipt,971,,100000
,HDFC Bank,,,100000.00 Dr,
09-12-2025,M M Trading Company - Khejroli,Receipt,972,,9000
,Cash,,,9000.00 Dr,
09-12-2025,Shyam Ji Yadav,Receipt,973,,8390
,Cash,,,8390.00 Dr,
09-12-2025,Krishna Baat Bhandhar- Sirsi Mode,Receipt,974,,9000
,Cash,,,9000.00 Dr,
09-12-2025,Jai Jagdamba Treding Company Nangal Bhirda,Sales,3053/25-26,53170,
,Sales Account,,,,53170.00 Cr
09-12-2025,Balaji Indastrises  Didwana,Sales,3054/25-26,81510,
,Sales Account,,,,81510.00 Cr
09-12-2025,Jain & Brothers - Muhana Mandi,Sales,3055/25-26,62717,
,Sales Account,,,,62717.00 Cr
09-12-2025,"P,H,Food Products Guna Mp",Purchase,228,,758640
,Purchase Account,,,758640.00 Dr,
10-12-2025,Mangal Treding Company Kukerkheda Mhandi,Payment,953,27034,
,Punjab National Bank - New,,,,27034.00 Cr
10-12-2025,Wages Expenses A/C,Payment,954,7650,
,Cash,,,,7650.00 Cr
10-12-2025,Tour & Travel,Payment,955,3000,
,Cash,,,,3000.00 Cr
10-12-2025,Haritwal Pashu Ahar Vatika,Receipt,975,,9695
,Cash,,,9695.00 Dr,
10-12-2025,M M Trading Company - Khejroli,Receipt,976,,9000
,Cash,,,9000.00 Dr,
10-12-2025,Jai Jagdamba Treding Company Nangal Bhirda,Receipt,977,,9500
,Cash,,,9500.00 Dr,
10-12-2025,Ranjeet Singh,Receipt,978,,9000
,Cash,,,9000.00 Dr,
10-12-2025,Vinayak Brothers - Renwal,Receipt,979,,94180
,HDFC Bank,,,94180.00 Dr,
10-12-2025,Krishna Baat Bhandhar- Sirsi Mode,Receipt,980,,8000
,Cash,,,8000.00 Dr,
10-12-2025,Vishnu Dairy Lalchandpura,Receipt,981,,9000
,Cash,,,9000.00 Dr,
10-12-2025,Uttam Agencies Sambriya,Receipt,982,,49609
,Punjab National Bank - New,,,49609.00 Dr,
10-12-2025,Shri Shyam Baat Bhandar (Bad Ke Bala Ji ),Receipt,983,,13458
,HDFC Bank,,,13458.00 Dr,
10-12-2025,Ranjeet Singh,Sales,3056/25-26,22455,
,Sales Account,,,,22455.00 Cr
10-12-2025,Khandelwal Kirana  Store - Nindar,Sales,3057/25-26,29320,
,Sales Account,,,,29320.00 Cr
10-12-2025,Shri Shyam Baat Bhandar (Bad Ke Bala Ji ),Sales,3058/25-26,9380,
,Sales Account,,,,9380.00 Cr
10-12-2025,Ramnarayan Ji Yadev  Dhanota,Sales,3059/25-26,58750,
,Sales Account,,,,58750.00 Cr
10-12-2025,D .K Tradars,Purchase,229,,560535
,Purchase Account,,,560535.00 Dr,
11-12-2025,Wages Expenses A/C,Payment,956,7600,
,Cash,,,,7600.00 Cr
11-12-2025,Machinery Reparing,Payment,957,2840,
,Cash,,,,2840.00 Cr
11-12-2025,Electricity and Water Expenses,Payment,958,86220,
,HDFC Bank,,,,86220.00 Cr
11-12-2025,M M Trading Company - Khejroli,Receipt,984,,9000
,Cash,,,9000.00 Dr,
11-12-2025,Jai Jagdamba Treding Company Nangal Bhirda,Receipt,985,,9500
,Cash,,,9500.00 Dr,
11-12-2025,Ranjeet Singh,Receipt,986,,9000
,Cash,,,9000.00 Dr,
11-12-2025,Ganesh Pashuahar Chaksu,Receipt,987,,300000
,HDFC Bank,,,300000.00 Dr,
11-12-2025,Dugya Cattle Feed - Muhana,Receipt,988,,69300
,HDFC Bank,,,69300.00 Dr,
11-12-2025,Godha Enterprises (Hingoniya),Receipt,989,,37100
,HDFC Bank,,,37100.00 Dr,
11-12-2025,Vishnu Dairy Lalchandpura,Receipt,990,,9000
,Cash,,,9000.00 Dr,
11-12-2025,Mehta Baat Bhandhar - GovindPura,Sales,3060/25-26,56160,
,Sales Account,,,,56160.00 Cr
11-12-2025,Godha Enterprises (Hingoniya),Sales,3061/25-26,83100,
,Sales Account,,,,83100.00 Cr
11-12-2025,"Kailash Chand Deen Dayal - Kasera, Shreemodhopur",Sales,3062/25-26,62895,
,Sales Account,,,,62895.00 Cr
12-12-2025,DILIP UDYOUG,Payment,959,40986,
,Punjab National Bank - New,,,,40986.00 Cr
12-12-2025,Wages Expenses A/C,Payment,960,7550,
,Cash,,,,7550.00 Cr
12-12-2025,Office Expenses,Payment,961,2440,
,Cash,,,,2440.00 Cr
12-12-2025,M M Trading Company - Khejroli,Receipt,991,,9000
,Cash,,,9000.00 Dr,
12-12-2025,Jai Jagdamba Treding Company Nangal Bhirda,Receipt,992,,9500
,Cash,,,9500.00 Dr,
12-12-2025,Ranjeet Singh,Receipt,993,,4455
,Cash,,,4455.00 Dr,
12-12-2025,Ishwar and Company Surajpool,Receipt,994,,78750
,HDFC Bank,,,78750.00 Dr,
12-12-2025,Satyenarayan Kunj Bihari  Ude,Receipt,995,,29738
,HDFC Bank,,,29738.00 Dr,
12-12-2025,Shiv Trading Comnay Vatika,Receipt,996,,73170
,HDFC Bank,,,73170.00 Dr,
12-12-2025,Maruti Trading Company Kalwar,Receipt,997,,46000
,HDFC Bank,,,46000.00 Dr,
12-12-2025,Shri Shyam Baat Bhandar (Bad Ke Bala Ji ),Receipt,998,,22593
,HDFC Bank,,,22593.00 Dr,
12-12-2025,Blue Diamond Food Production,Receipt,999,,10000
,HDFC Bank,,,10000.00 Dr,
12-12-2025,Vishnu Dairy Lalchandpura,Receipt,1000,,9000
,Cash,,,9000.00 Dr,
12-12-2025,Discount Given,Journal,20,337,
,Satyenarayan Kunj Bihari  Ude,,,,337.00 Cr
12-12-2025,Shri Shyam Baat Bhandar (Bad Ke Bala Ji ),Sales,3063/25-26,17535,
,Sales Account,,,,17535.00 Cr
12-12-2025,Madan Mohan Trading Watika,Sales,3064/25-26,53707,
,Sales Account,,,,53707.00 Cr
12-12-2025,SHRI BALAJI ENTERPRISES-TIGARIYA,Sales,3065/25-26,68865,
,Sales Account,,,,68865.00 Cr
12-12-2025,PRABHA MAHILA KISSAN PRODUSER KHANDER,Sales,3066/25-26,63000,
,Sales Account,,,,63000.00 Cr
12-12-2025,Rajendra Kumar Pawan Kumar Fhagi,Sales,3067/25-26,73140,
,Sales Account,,,,73140.00 Cr
12-12-2025,Abhishek Treding Company  Fathenegar,Sales,3068/25-26,237400,
,Sales Account,,,,237400.00 Cr
12-12-2025,Balaji Packers - Jaipur,Purchase,230,,86012
,Purchase Account,,,72891.00 Dr,
,SGST-Tax,,,6560.50 Dr,
,CGST-Tax,,,6560.50 Dr,
12-12-2025,Agrasen Cotton Private Limited  Chomu,Purchase,231,,79273
,Purchase Account,,,79273.00 Dr,
12-12-2025,Agrasen Cotton Private Limited  Chomu,Purchase,232,,75192
,Purchase Account,,,71612.00 Dr,
,SGST-Tax,,,1790.00 Dr,
,CGST-Tax,,,1790.00 Dr,
13-12-2025,Telephone Exp,Payment,962,1049,
,HDFC Bank,,,,1049.00 Cr
13-12-2025,Wages Expenses A/C,Payment,963,7600,
,Cash,,,,7600.00 Cr
13-12-2025,Convence Expensece,Payment,964,2800,
,Cash,,,,2800.00 Cr
13-12-2025,M M Trading Company - Khejroli,Receipt,1001,,9500
,Cash,,,9500.00 Dr,
13-12-2025,Jai Jagdamba Treding Company Nangal Bhirda,Receipt,1002,,9500
,Cash,,,9500.00 Dr,
13-12-2025,G.K.N - Industries,Receipt,1003,,44330
,HDFC Bank,,,44330.00 Dr,
13-12-2025,Vishnu Dairy Lalchandpura,Receipt,1004,,9000
,Cash,,,9000.00 Dr,
13-12-2025,Ganesh Pashuahar Chaksu,Sales,3069/25-26,73500,
,Sales Account,,,,73500.00 Cr
13-12-2025,Ganesh Pashuahar Chaksu,Sales,3070/25-26,69250,
,Sales Account,,,,69250.00 Cr
13-12-2025,Mamraj and Company Khejroli,Sales,3071/25-26,63250,
,Sales Account,,,,63250.00 Cr
14-12-2025,"Kailash Chand Deen Dayal - Kasera, Shreemodhopur",Receipt,1005,,62825
,Punjab National Bank - New,,,62825.00 Dr,
14-12-2025,Lavik Traders,Sales,3072/25-26,62631,
,Sales Account,,,,62631.00 Cr
15-12-2025,Shri Hari Shanker Khandelwal,Payment,965,70000,
,HDFC Bank,,,,70000.00 Cr
15-12-2025,D .K Tradars,Payment,966,558055,
,HDFC Bank,,,,558055.00 Cr
15-12-2025,Jurashik Minral,Payment,967,27556,
,HDFC Bank,,,,27556.00 Cr
15-12-2025,Wages Expenses A/C,Payment,968,7600,
,Cash,,,,7600.00 Cr
15-12-2025,Tour & Travel,Payment,969,2530,
,Cash,,,,2530.00 Cr
15-12-2025,Office Expenses,Payment,970,1100,
,Cash,,,,1100.00 Cr
15-12-2025,Vishnu Dairy Lalchandpura,Receipt,1006,,9000
,Cash,,,9000.00 Dr,
15-12-2025,M M Trading Company - Khejroli,Receipt,1007,,9500
,Cash,,,9500.00 Dr,
15-12-2025,Jai Jagdamba Treding Company Nangal Bhirda,Receipt,1008,,9500
,Cash,,,9500.00 Dr,
15-12-2025,Giriraj Enterprises - Kalu Ka Baas,Receipt,1009,,70000
,HDFC Bank,,,70000.00 Dr,
15-12-2025,Shri Shyam Baat Bhandar (Bad Ke Bala Ji ),Receipt,1010,,17535
,HDFC Bank,,,17535.00 Dr,
15-12-2025,Rajendra Kumar Pawan Kumar Fhagi,Receipt,1011,,73140
,HDFC Bank,,,73140.00 Dr,
15-12-2025,Shri Balaji Agro Industries - Muhana,Receipt,1012,,60420
,HDFC Bank,,,60420.00 Dr,
15-12-2025,SHRI BALAJI ENTERPRISES-TIGARIYA,Receipt,1013,,70000
,HDFC Bank,,,70000.00 Dr,
15-12-2025,Giriraj Trading Company - Alwar,Receipt,1014,,75000
,Punjab National Bank - New,,,75000.00 Dr,
15-12-2025,Satyenarayan Kunj Bihari  Ude,Sales,3073/25-26,49000,
,Sales Account,,,,49000.00 Cr
15-12-2025,Shri Shyam Baat Bhandar (Bad Ke Bala Ji ),Sales,3074/25-26,12845,
,Sales Account,,,,12845.00 Cr
15-12-2025,Arihant  Kumar Rahul Kumar  Medta Seety - S,Sales,3075/25-26,113115,
,Sales Account,,,,113115.00 Cr
15-12-2025,Maruti Trading Company Kalwar,Sales,3076/25-26,57960,
,Sales Account,,,,57960.00 Cr
15-12-2025,Balaji Trading  Company  - Lalshot,Sales,3077/25-26,76950,
,Sales Account,,,,76950.00 Cr
16-12-2025,Agrasen Cotton Private Limited  Chomu,Payment,971,154465,
,HDFC Bank,,,,154465.00 Cr
16-12-2025,Wages Expenses A/C,Payment,972,7650,
,Cash,,,,7650.00 Cr
16-12-2025,Machinery Reparing,Payment,973,2350,
,Cash,,,,2350.00 Cr
16-12-2025,"P,H,Food Products Guna Mp",Payment,974,755310,
,HDFC Bank,,,,755310.00 Cr
16-12-2025,M M Trading Company - Khejroli,Receipt,1015,,9500
,Cash,,,9500.00 Dr,
16-12-2025,Jai Jagdamba Treding Company Nangal Bhirda,Receipt,1016,,6770
,Cash,,,6770.00 Dr,
16-12-2025,Balaji Trading  Company  - Lalshot,Receipt,1017,,76950
,HDFC Bank,,,76950.00 Dr,
16-12-2025,Lavik Traders,Receipt,1018,,62937
,HDFC Bank,,,62937.00 Dr,
16-12-2025,Jaipur Agro Tech Surajpole Mandi,Receipt,1019,,94500
,HDFC Bank,,,94500.00 Dr,
16-12-2025,Vishnu Dairy Lalchandpura,Receipt,1020,,5000
,Cash,,,5000.00 Dr,
16-12-2025,Pashupati Trading Company,Sales,3078/25-26,58677,
,Sales Account,,,,58677.00 Cr
16-12-2025,Giriraj Enterprises - Kalu Ka Baas,Sales,3079/25-26,53865,
,Sales Account,,,,53865.00 Cr
16-12-2025,Shri Shyam Enterprises - Kalu Ka Baas,Sales,3080/25-26,11250,
,Sales Account,,,,11250.00 Cr
17-12-2025,Piccadily Agro Industries Ltd,Payment,975,475000,
,HDFC Bank,,,,475000.00 Cr
17-12-2025,Wages Expenses A/C,Payment,976,7600,
,Cash,,,,7600.00 Cr
17-12-2025,Tour & Travel,Payment,977,2500,
,Cash,,,,2500.00 Cr
17-12-2025,Office Expenses,Payment,978,596,
,Cash,,,,596.00 Cr
17-12-2025,M M Trading Company - Khejroli,Receipt,1021,,9500
,Cash,,,9500.00 Dr,
17-12-2025,Bansidhar Ji Tatla - Nangal Koju,Receipt,1022,,2000
,HDFC Bank,,,2000.00 Dr,
17-12-2025,Shri Chand Pasu Aahar Malpura,Receipt,1023,,195920
,HDFC Bank,,,195920.00 Dr,
17-12-2025,Harsit Kotari,Receipt,1024,,31000
,HDFC Bank,,,31000.00 Dr,
17-12-2025,KAMAL TRADING CO Dudu,Sales,3081/25-26,69695,
,Sales Account,,,,69695.00 Cr
17-12-2025,Vinayak Brothers - Renwal,Sales,3082/25-26,94310,
,Sales Account,,,,94310.00 Cr
17-12-2025,Ishwar and Company Surajpool,Sales,3083/25-26,78750,
,Sales Account,,,,78750.00 Cr
18-12-2025,Piccadily Agro Industries Ltd,Payment,979,9094,
,HDFC Bank,,,,9094.00 Cr
18-12-2025,BUSINESS PROMOTION EXPENSES,Payment,980,47701,
,HDFC Bank,,,,47701.00 Cr
18-12-2025,Wages Expenses A/C,Payment,981,7500,
,Cash,,,,7500.00 Cr
18-12-2025,Convence Expensece,Payment,982,2650,
,Cash,,,,2650.00 Cr
18-12-2025,M M Trading Company - Khejroli,Receipt,1025,,2500
,Cash,,,2500.00 Dr,
18-12-2025,Shri Shyam Baat Bhandar (Bad Ke Bala Ji ),Receipt,1026,,12845
,HDFC Bank,,,12845.00 Dr,
18-12-2025,KAMAL TRADING CO Dudu,Receipt,1027,,60000
,HDFC Bank,,,60000.00 Dr,
18-12-2025,Pashupati Trading Company,Receipt,1028,,62680
,Punjab National Bank - New,,,62680.00 Dr,
18-12-2025,Shri Shyam Baat Bhandar (Bad Ke Bala Ji ),Sales,3084/25-26,14267,
,Sales Account,,,,14267.00 Cr
18-12-2025,Maa Karni Baat Bhander Sodala,Sales,3085/25-26,19030,
,Sales Account,,,,19030.00 Cr
18-12-2025,JAGMOHAN  SATISH KUMAR  MAHUWA,Sales,3086/25-26,92840,
,Sales Account,,,,92840.00 Cr
18-12-2025,Shri Chand Pasu Aahar Malpura,Sales,3087/25-26,141789,
,Sales Account,,,,141789.00 Cr
18-12-2025,Jain & Brothers - Muhana Mandi,Sales,3088/25-26,62717,
,Sales Account,,,,62717.00 Cr
18-12-2025,SHRI RAM INDUSTRIES  (PHULERA),Purchase,233,,197556
,Purchase Account,,,197556.00 Dr,
18-12-2025,BHAGTHALI TRADING CO.,Purchase,234,,157907
,Purchase Account,,,157907.00 Dr,
18-12-2025,Jai Shanker Rice and  Gen Mill,Purchase,235,,563237
,Purchase Account,,,563237.00 Dr,
19-12-2025,Office Expenses,Payment,983,2000,
,Punjab National Bank - New,,,,2000.00 Cr
19-12-2025,SHRI RAM INDUSTRIES  (PHULERA),Payment,984,197556,
,HDFC Bank,,,,197556.00 Cr
19-12-2025,Wages Expenses A/C,Payment,985,7650,
,Cash,,,,7650.00 Cr
19-12-2025,Tour & Travel,Payment,986,2750,
,Cash,,,,2750.00 Cr
19-12-2025,D .K Tradars,Payment,987,2480,
,HDFC Bank,,,,2480.00 Cr
19-12-2025,Vinayak Genral Stor Ranwal,Receipt,1029,,4678
,HDFC Bank,,,4678.00 Dr,
19-12-2025,Vinayak Genral Stor Ranwal,Receipt,1030,,65000
,HDFC Bank,,,65000.00 Dr,
19-12-2025,G.K.N - Industries,Receipt,1031,,92322
,HDFC Bank,,,92322.00 Dr,
19-12-2025,Balaji Indastrises  Didwana,Receipt,1032,,81461
,HDFC Bank,,,81461.00 Dr,
19-12-2025,Mamraj and Company Khejroli,Sales,3089/25-26,69000,
,Sales Account,,,,69000.00 Cr
19-12-2025,Sagar Feed Bilwada,Sales,3090/25-26,96330,
,Sales Account,,,,96330.00 Cr
19-12-2025,Vinayak Genral Stor Ranwal,Sales,3091/25-26,69678,
,Sales Account,,,,69678.00 Cr
19-12-2025,Anjani Trading Company  -(Beawar),Sales,3092/25-26,211695,
,Sales Account,,,,211695.00 Cr
19-12-2025,Krishna Enterprises Jetpura,Purchase,236,,68395
,Purchase Account,,,68395.00 Dr,
19-12-2025,Khandelwal Steel Jaipur - Jaipur,Purchase,237,,15465
,Purchase Account,,,14729.00 Dr,
,SGST-Tax,,,368.00 Dr,
,CGST-Tax,,,368.00 Dr,
20-12-2025,Wages Expenses A/C,Payment,988,7600,
,Cash,,,,7600.00 Cr
20-12-2025,Printing & Stationary,Payment,989,2440,
,Cash,,,,2440.00 Cr
20-12-2025,Balaji Packers - Jaipur,Payment,990,83071,
,HDFC Bank,,,,83071.00 Cr
20-12-2025,Maa Karni Baat Bhander Sodala,Receipt,1033,,19030
,HDFC Bank,,,19030.00 Dr,
20-12-2025,Shri Shyam Baat Bhandar (Bad Ke Bala Ji ),Receipt,1034,,14267
,HDFC Bank,,,14267.00 Dr,
20-12-2025,Jaipur Agro Tech Surajpole Mandi,Receipt,1035,,86625
,HDFC Bank,,,86625.00 Dr,
20-12-2025,Shri Shyam Baat Bhandar (Bad Ke Bala Ji ),Sales,3093/25-26,13458,
,Sales Account,,,,13458.00 Cr
20-12-2025,S Kumar & Company - Navalgarh,Sales,3095/2024-2025,332585,
,Sales Account,,,,332585.00 Cr
20-12-2025,Piccadily Agro Industries Ltd,Purchase,238,,484094
,Purchase Account,,,461042.00 Dr,
,IGST-Tax,,,23052.00 Dr,
21-12-2025,M M Trading Company - Khejroli,Receipt,1036,,9500
,Cash,,,9500.00 Dr,
21-12-2025,Shyam Ji Yadav,Receipt,1037,,9000
,Cash,,,9000.00 Dr,
21-12-2025,Choudhary Pashu Aahar  Parbatsar,Receipt,1038,,51080
,HDFC Bank,,,51080.00 Dr,
21-12-2025,Harsit Kotari,Sales,3096/2024-2025,331295,
,Sales Account,,,,331295.00 Cr
21-12-2025,Agri Channel Overseas Tonk Rood Jaipur,Purchase,239,,547313
,Purchase Account,,,521250.00 Dr,
,SGST-Tax,,,13031.50 Dr,
,CGST-Tax,,,13031.50 Dr,
22-12-2025,Wages Expenses A/C,Payment,991,7550,
,Cash,,,,7550.00 Cr
22-12-2025,Office Expenses,Payment,992,2450,
,Cash,,,,2450.00 Cr
22-12-2025,Jai Shanker Rice and  Gen Mill,Payment,993,563237,
,HDFC Bank,,,,563237.00 Cr
22-12-2025,Krishna Enterprises Jetpura,Payment,994,68395,
,HDFC Bank,,,,68395.00 Cr
22-12-2025,Agri Channel Overseas Tonk Rood Jaipur,Payment,995,547313,
,HDFC Bank,,,,547313.00 Cr
22-12-2025,BHAGTHALI TRADING CO.,Payment,996,157907,
,HDFC Bank,,,,157907.00 Cr
22-12-2025,Giriraj Enterprises - Kalu Ka Baas,Receipt,1039,,15115
,HDFC Bank,,,15115.00 Dr,
22-12-2025,Harsit Kotari,Receipt,1040,,50000
,HDFC Bank,,,50000.00 Dr,
22-12-2025,Jitender Baat Bhandhar - Jhobner,Receipt,1041,,10000
,HDFC Bank,,,10000.00 Dr,
22-12-2025,Lavik Traders,Receipt,1042,,48898
,HDFC Bank,,,48898.00 Dr,
22-12-2025,Jain & Brothers - Muhana Mandi,Receipt,1043,,62717
,HDFC Bank,,,62717.00 Dr,
22-12-2025,M M Trading Company - Khejroli,Receipt,1044,,9500
,Cash,,,9500.00 Dr,
22-12-2025,Shyam Ji Yadav,Receipt,1045,,5720
,Cash,,,5720.00 Dr,
22-12-2025,Shri Namokaar Trading Company,Receipt,1046,,5000
,Cash,,,5000.00 Dr,
22-12-2025,Lavik Traders,Sales,3097/25-26,33138,
,Sales Account,,,,33138.00 Cr
23-12-2025,Wages Expenses A/C,Payment,997,7650,
,Cash,,,,7650.00 Cr
23-12-2025,Convence Expensece,Payment,998,2650,
,Cash,,,,2650.00 Cr
23-12-2025,J.S. Packers - Jaipur,Payment,999,14992,
,HDFC Bank,,,,14992.00 Cr
23-12-2025,J.S. Packers - Jaipur,Payment,1000,26651,
,HDFC Bank,,,,26651.00 Cr
23-12-2025,BUSINESS PROMOTION EXPENSES,Payment,1001,2435,
,HDFC Bank,,,,2435.00 Cr
23-12-2025,Tarachand Ji -Yadav Khejroli,Receipt,1047,,44900
,HDFC Bank,,,44900.00 Dr,
23-12-2025,Priyanka Oil Mill Ganedi Dadu,Receipt,1048,,50000
,HDFC Bank,,,50000.00 Dr,
23-12-2025,Haritwal Pashu Ahar Vatika,Receipt,1049,,46000
,HDFC Bank,,,46000.00 Dr,
23-12-2025,M M Trading Company - Khejroli,Receipt,1050,,9500
,Cash,,,9500.00 Dr,
23-12-2025,Shri Vaibhav Metacast Pvt Ltd Unit,Sales,3098/25-26,35560,
,Sales Account,,,,35560.00 Cr
23-12-2025,Uttam Agencies Sambriya,Sales,3099/25-26,48903,
,Sales Account,,,,48903.00 Cr
23-12-2025,G.K.N - Industries,Sales,3100/25-26,44330,
,Sales Account,,,,44330.00 Cr
23-12-2025,Goyal Treders Fhagi,Sales,3101/25-26,69856,
,Sales Account,,,,69856.00 Cr
23-12-2025,Badri Lal Dwaraka Parsad Nasirabad,Sales,3102/25-26,143484,
,Sales Account,,,,143484.00 Cr
23-12-2025,Shri Shyam Pulses Pvt  Ltd Rd No 15,Purchase,240,,44118
,Purchase Account,,,44118.00 Dr,
24-12-2025,J.S. Packers - Jaipur,Payment,1002,45700,
,Punjab National Bank - New,,,,45700.00 Cr
24-12-2025,Wages Expenses A/C,Payment,1003,7500,
,Cash,,,,7500.00 Cr
24-12-2025,Machinery Reparing,Payment,1004,2620,
,Cash,,,,2620.00 Cr
24-12-2025,Kedar Kirana Stor Benadamod,Receipt,1051,,50000
,HDFC Bank,,,50000.00 Dr,
24-12-2025,Choudhary Pashu Aahar  Parbatsar,Receipt,1052,,25000
,HDFC Bank,,,25000.00 Dr,
24-12-2025,Anukumar Mukesh Kumar Malpura,Receipt,1053,,30300
,Punjab National Bank - New,,,30300.00 Dr,
24-12-2025,Sagar Feed Bilwada,Receipt,1054,,96552
,HDFC Bank,,,96552.00 Dr,
24-12-2025,Khandelwal Kirana  Store - Nindar,Receipt,1055,,9500
,Cash,,,9500.00 Dr,
24-12-2025,M M Trading Company - Khejroli,Receipt,1056,,9500
,Cash,,,9500.00 Dr,
24-12-2025,Discount Given,Journal,21,200,
,Kedar Kirana Stor Benadamod,,,,200.00 Cr
24-12-2025,Shiv Trading Comnay Vatika,Sales,3103/25-26,75669,
,Sales Account,,,,75669.00 Cr
24-12-2025,Giriraj Enterprises - Kalu Ka Baas,Sales,3104/25-26,33750,
,Sales Account,,,,33750.00 Cr
24-12-2025,Choudhary Pashu Aahar  Parbatsar,Sales,3105/25-26,99505,
,Sales Account,,,,99505.00 Cr
24-12-2025,KANHA FOOD PRODUCTS,Purchase,241,,344131
,Purchase Account,,,344131.00 Dr,
24-12-2025,Ashwani Enterprises Baran  Rajasthan,Purchase,242,,465505
,Purchase Account,,,465505.00 Dr,
25-12-2025,Wages Expenses A/C,Payment,1005,7650,
,Cash,,,,7650.00 Cr
25-12-2025,Tour & Travel,Payment,1006,2600,
,Cash,,,,2600.00 Cr
25-12-2025,Prakash Enterprises - Phulera,Receipt,1057,,78220
,Punjab National Bank - New,,,78220.00 Dr,
25-12-2025,Khandelwal Kirana  Store - Nindar,Receipt,1058,,9500
,Cash,,,9500.00 Dr,
25-12-2025,M M Trading Company - Khejroli,Receipt,1059,,9500
,Cash,,,9500.00 Dr,
26-12-2025,BANK  EXPENSES- PNB BANK,Payment,1007,28.91,
,Punjab National Bank - New,,,,28.91 Cr
26-12-2025,KANHA FOOD PRODUCTS,Payment,1008,344130,
,Punjab National Bank - New,,,,344130.00 Cr
26-12-2025,Wages Expenses A/C,Payment,1009,7600,
,Cash,,,,7600.00 Cr
26-12-2025,Tour & Travel,Payment,1010,2010,
,Cash,,,,2010.00 Cr
26-12-2025,Fright Exp,Payment,1011,9000,
,Cash,,,,9000.00 Cr
26-12-2025,JAGMOHAN  SATISH KUMAR  MAHUWA,Receipt,1060,,92914
,HDFC Bank,,,92914.00 Dr,
26-12-2025,Anjani Trading Company  -(Beawar),Receipt,1061,,211695
,HDFC Bank,,,211695.00 Dr,
26-12-2025,Shri Shyam Baat Bhandar (Bad Ke Bala Ji ),Receipt,1062,,13458
,HDFC Bank,,,13458.00 Dr,
26-12-2025,Maa Karni Baat Bhander Sodala,Receipt,1063,,9000
